注文,価格,数量,手数料,ボーナス,日時
買い,0.8JPY,140804.8ZAIF,,,2017/12/6 12:57
買い,0.8JPY,500000.2ZAIF,,,2017/12/6 12:57
買い,0.8JPY,5000ZAIF,,,2017/12/6 12:56
買い,0.8JPY,100000ZAIF,,,2017/12/6 12:56
買い,0.8JPY,150743.7ZAIF,,,2017/12/6 12:56
買い,0.8JPY,189000ZAIF,,,2017/12/6 12:55
買い,0.85JPY,496860.3ZAIF,,,2017/12/6 8:18
買い,0.85JPY,378876.4ZAIF,,,2017/12/6 7:58
買い,0.8639JPY,91563.8ZAIF,,,2017/12/6 7:21
買い,0.6401JPY,91398.5ZAIF,,,2017/12/5 20:08
買い,0.6401JPY,10446.7ZAIF,,,2017/12/5 20:08
売り,1830000JPY,0.0394BTC,,36.0円,2017/12/27 8:27
売り,1830000JPY,0.2606BTC,,200.0円,2017/12/27 8:27
買い,1830000JPY,0.3000BTC,,200.0円,2017/12/27 1:04
売り,39JPY,10643.4XEM,415.0926JPY,,2017/12/10 12:49
売り,39JPY,300XEM,11.7JPY,,2017/12/10 12:49
売り,39JPY,100XEM,3.9JPY,,2017/12/10 12:49
売り,39JPY,3XEM,0.117JPY,,2017/12/10 12:49
売り,39JPY,500XEM,19.5JPY,,2017/12/10 12:49
売り,39JPY,8453.6XEM,329.6904JPY,,2017/12/10 12:49
買い,34.5JPY,19616.9XEM,,,2017/12/6 7:34
買い,34.5JPY,383.1XEM,,,2017/12/6 7:34
買い,320000JPY,0.6324BCH,,,2017/12/30 1:21
買い,320000JPY,1.8033BCH,,,2017/12/30 1:21
買い,160015JPY,5.4272BCH,,,2017/12/7 7:41
売り,166000JPY,0.7173BCH,357.2154JPY,,2017/12/6 7:24
売り,166000JPY,1BCH,498JPY,,2017/12/6 7:24
売り,166000JPY,1BCH,498JPY,,2017/12/6 7:24
売り,166000JPY,0.3251BCH,161.8998JPY,,2017/12/6 7:24
売り,166000JPY,0.06BCH,29.88JPY,,2017/12/6 7:24
売り,166000JPY,0.2BCH,99.6JPY,,2017/12/6 7:24
売り,166000JPY,0.3BCH,149.4JPY,,2017/12/6 7:24
売り,166000JPY,0.02BCH,9.96JPY,,2017/12/6 7:24
売り,166000JPY,0.0018BCH,0.8964JPY,,2017/12/6 7:24
売り,166000JPY,0.05BCH,24.9JPY,,2017/12/6 7:24
売り,166000JPY,0.01BCH,4.98JPY,,2017/12/6 7:24
売り,166000JPY,0.04BCH,19.92JPY,,2017/12/6 7:24
売り,166005JPY,0.05BCH,24.90075JPY,,2017/12/6 7:24
売り,166005JPY,0.0777BCH,38.6957655JPY,,2017/12/6 7:24
売り,166050JPY,0.35BCH,174.3525JPY,,2017/12/6 7:24
売り,166100JPY,1.3641BCH,679.73103JPY,,2017/12/6 7:24
売り,166100JPY,1BCH,498.3JPY,,2017/12/6 7:24
売り,166100JPY,0.02BCH,9.966JPY,,2017/12/6 7:24
売り,166100JPY,0.1BCH,49.83JPY,,2017/12/6 7:24
売り,166105JPY,0.006BCH,2.98989JPY,,2017/12/6 7:24
売り,166110JPY,0.8BCH,398.664JPY,,2017/12/6 7:24
売り,166150JPY,2BCH,996.9JPY,,2017/12/6 7:24
売り,166150JPY,0.03BCH,14.9535JPY,,2017/12/6 7:24
売り,166150JPY,2.9036BCH,1447.29942JPY,,2017/12/6 7:24
売り,166200JPY,0.9244BCH,460.90584JPY,,2017/12/6 7:24
売り,166540JPY,0.65BCH,324.753JPY,,2017/12/6 7:24
売り,166600JPY,1BCH,,,2017/12/6 7:20
売り,166600JPY,0.9727BCH,,,2017/12/6 7:15
売り,166600JPY,0.0973BCH,,,2017/12/6 7:14
売り,166600JPY,0.9BCH,,,2017/12/6 7:14
売り,166600JPY,0.05BCH,,,2017/12/6 7:14
売り,166600JPY,0.0542BCH,,,2017/12/6 7:14
売り,166600JPY,2BCH,,,2017/12/6 7:14
売り,166600JPY,0.01BCH,4.998JPY,,2017/12/6 7:14
売り,166600JPY,0.3761BCH,187.97478JPY,,2017/12/6 7:14
売り,166610JPY,0.1337BCH,66.827271JPY,,2017/12/6 7:14
買い,56200JPY,0.0001BCH,,,2017/11/2 0:36
買い,56200JPY,0.0005BCH,,,2017/11/2 0:36
買い,56200JPY,0.1994BCH,,,2017/11/2 0:36
買い,55930JPY,0.031BCH,,,2017/11/2 0:35
買い,56050JPY,0.3BCH,,,2017/11/1 22:28
買い,50000JPY,0.2BCH,,,2017/11/1 2:07
買い,49700JPY,0.1936BCH,,,2017/11/1 0:48
買い,49700JPY,0.1064BCH,,,2017/11/1 0:48
買い,48650JPY,0.5BCH,,,2017/11/1 0:35
買い,48880JPY,2BCH,,,2017/11/1 0:12
買い,47000JPY,2BCH,,,2017/11/1 0:01
買い,48850JPY,0.3BCH,,,2017/10/31 21:10
買い,49790JPY,3BCH,,,2017/10/31 20:33
