取引日時,取引種別,数量,通貨等,手数料合計,アドレス,TX ID,ステータス,注文 ID
2017/10/29 19:29:00,外部送付,-1.62069652,BTC,-0.0004,197kn4KFPYAEsssS3pb7aUicn8CAnEzBBR,fdaae7ee26423aa911b7899f4e317e5b683bf18e67484e7db8a3e41db4e1f66d,完了,CWD20171029-102821-585723
2017/10/28 20:09:01,外部送付,-1.5,BTC,-0.0004,197kn4KFPYAEsssS3pb7aUicn8CAnEzBBR,204b5fc40977f6c04905c48c36fc9b79b5ea6d19ba62c7eeb017078d01321cf0,完了,CWD20171028-110849-663429
2017/10/25 22:28:02,外部送付,-0.5,BTC,-0.0004,18mSbtZmiXScwsTsC8mpUrz9RS5d8HEFui,21a34538760991ca2ff0267f099356528ea9240bcabd6441e638c03819cb1b36,完了,CWD20171025-132655-131632
2017/10/18 19:59:30,入金,2500324,JPY,0,,,完了,MDP20171018-105930-946516
