#,Currency,Method,Amount,Status,Address,TXID,Created,Updated
6281978,BCH,BCASH,-7.06615623,COMPLETED,1A6zWdxpQAtK477RY6jrNJ5QDoSryNiPTH,f3c62a9b3ddedc7394c14d512c25f892293c3b6476b8ae2b84839ebcde1cefa9,2017-12-06 12:21:04,2017-12-06 15:41:03
5369153,BCH,BCASH,-66.11477909,COMPLETED,1A6zWdxpQAtK477RY6jrNJ5QDoSryNiPTH,aca27ee660f0c50857281f210ace609dea7519dbd58a87d3d2eeaae6b381ebf5,2017-11-19 16:41:57,2017-11-19 17:07:48
5369020,BCH,BCASH,-66.11477909,CANCELED,1A6zWdxpQAtK477RY6jrNJ5QDoSryNiPTH,,2017-11-19 16:35:14,2017-11-19 16:37:50
